[0.00-0.05),14815,232
[0.05-0.10),18721,406
[0.10-0.15),22623,537
[0.15-0.20),24249,621
[0.20-0.25),23691,667
[0.25-0.30),21321,690
[0.30-0.35),17095,578
[0.35-0.40),13482,476
[0.40-0.45),10019,385
[0.45-0.50),7169,341
[0.50-0.55),5381,225
[0.55-0.60),3998,154
[0.60-0.65),3017,125
[0.65-0.70),2480,94
[0.70-0.75),1823,87
[0.75-0.80),1417,53
[0.80-0.85),1140,60
[0.85-0.90),842,40
[0.90-0.95),566,30
[0.95-1.00),331,19
